result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.0,1,0.4,0.010024383635871038,0.36470588235294116,2024-01-02_Adana_3,0.9443247397736703,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2,1,0.4666666666666667,0.027092928745597402,0.2,2024-01-02_Adana_3,0.9273675438632272,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4,1,0.4,0.025196423733405585,0.17647058823529413,2024-01-02_Adana_3,0.9270313038501632,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,1,0.4666666666666667,0.02086155513411,0.09411764705882353,2024-01-02_Adana_3,0.9117743981908523,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8,1,0.4,0.012733676510430777,0.25882352941176473,2024-01-02_Adana_3,0.8956830387197537,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0.4666666666666667,0.014630181522622597,0.09411764705882353,2024-01-02_Adana_3,0.879172824545408,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1,0.4,0.03196965591980493,0.15294117647058825,2024-01-02_Adana_4,0.9112979894288747,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1,0.4,0.027634787320509353,0.2823529411764706,2024-01-02_Adana_4,0.9110517032331125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,0.4,0.04009753454348415,0.24705882352941178,2024-01-02_Adana_4,0.9109860421202434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,1,0.4,0.0005418585749119474,0.3411764705882353,2024-01-02_Adana_4,0.8957311713768322,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
